0,1,2
0.04234,0.04234,0.04234
0.08788,0.08788,0.08788
0.07264,0.07264,0.07264
0.09554,0.09554,0.09554
0.04195,0.04195,0.04195
0.07762,0.07762,0.07762
0.04414,0.04414,0.04414
0.05652,0.05652,0.05652
0.03093,0.03093,0.03093
0.08674,0.08674,0.08674
0.03854,0.03854,0.03854
0.03001,0.03001,0.03001
0.05033,0.05033,0.05033
0.03803,0.03803,0.03803
0.03326,0.03326,0.03326
0.09163,0.09163,0.09163
0.08191,0.08191,0.08191
